Sample_Name,Sample_Project,Amount,Microbiome,Category.,X,Sample,Highest.Dose.,Further.Dilutions.,fq1,fq2,Rep,Sample_Abbrv
beetroot-20-K10-3,KeminCaninePartTwo,20,K10,Botanicals,10,beetroot powder,20mg,"10,5,1mg",beetroot-20-K10-3_L001_R1_001.fastq.gz,beetroot-20-K10-3_L001_R2_001.fastq.gz,3,beetroot
beetroot-20-K3-1,KeminCaninePartOne,20,K3,Botanicals,10,beetroot powder,20mg,"10,5,1mg",beetroot-20-K3-1_L001_R1_001.fastq.gz,beetroot-20-K3-1_L001_R2_001.fastq.gz,1,beetroot
beetroot-20-K3-2,KeminCaninePartTwo,20,K3,Botanicals,10,beetroot powder,20mg,"10,5,1mg",beetroot-20-K3-2_L001_R1_001.fastq.gz,beetroot-20-K3-2_L001_R2_001.fastq.gz,2,beetroot
beetroot-20-K3-3,KeminCaninePartThree,20,K3,Botanicals,10,beetroot powder,20mg,"10,5,1mg",beetroot-20-K3-3_L001_R1_001.fastq.gz,beetroot-20-K3-3_L001_R2_001.fastq.gz,3,beetroot
beetroot-20-K5-1,KeminCaninePartOne,20,K5,Botanicals,10,beetroot powder,20mg,"10,5,1mg",beetroot-20-K5-1_L001_R1_001.fastq.gz,beetroot-20-K5-1_L001_R2_001.fastq.gz,1,beetroot
beetroot-20-K5-2,KeminCaninePartThree,20,K5,Botanicals,10,beetroot powder,20mg,"10,5,1mg",beetroot-20-K5-2_L001_R1_001.fastq.gz,beetroot-20-K5-2_L001_R2_001.fastq.gz,2,beetroot
beetroot-20-K5-3,KeminCaninePartTwo,20,K5,Botanicals,10,beetroot powder,20mg,"10,5,1mg",beetroot-20-K5-3_L001_R1_001.fastq.gz,beetroot-20-K5-3_L001_R2_001.fastq.gz,3,beetroot
beetroot-20-K7-1,KeminCaninePartThree,20,K7,Botanicals,10,beetroot powder,20mg,"10,5,1mg",beetroot-20-K7-1_L001_R1_001.fastq.gz,beetroot-20-K7-1_L001_R2_001.fastq.gz,1,beetroot
beetroot-20-K7-2,KeminCaninePartOne,20,K7,Botanicals,10,beetroot powder,20mg,"10,5,1mg",beetroot-20-K7-2_L001_R1_001.fastq.gz,beetroot-20-K7-2_L001_R2_001.fastq.gz,2,beetroot
beetroot-20-K7-3,KeminCaninePartTwo,20,K7,Botanicals,10,beetroot powder,20mg,"10,5,1mg",beetroot-20-K7-3_L001_R1_001.fastq.gz,beetroot-20-K7-3_L001_R2_001.fastq.gz,3,beetroot
