"","Sample1","Sample2","Fs_value","p_value"
"1","Overall","",30.8401495497442,0.001
"2","beetroot powder","BetaVia Pure WD",44.8439326274804,0.001
"3","beetroot powder","carrot powder",0.398739581189505,0.525
"4","BetaVia Pure WD","carrot powder",68.1773186174287,0.001
"5","beetroot powder","Cellulose",29.1390956440553,0.001
"6","BetaVia Pure WD","Cellulose",1.12020396833271,0.311
"7","carrot powder","Cellulose",44.369693087775,0.001
"8","beetroot powder","dried apple pomace",17.7465945482657,0.001
"9","BetaVia Pure WD","dried apple pomace",81.3887979874419,0.001
"10","carrot powder","dried apple pomace",15.7411817673955,0.002
"11","Cellulose","dried apple pomace",66.1128666323375,0.001
"12","beetroot powder","dried spinich powder",7.84391717948847,0.013
"13","BetaVia Pure WD","dried spinich powder",14.5503599814889,0.003
"14","carrot powder","dried spinich powder",14.0041916915053,0.002
"15","Cellulose","dried spinich powder",6.876037666769,0.017
"16","dried apple pomace","dried spinich powder",39.4334876110562,0.001
"17","beetroot powder","FBB16",9.61233384252411,0.007
"18","BetaVia Pure WD","FBB16",84.6186281280272,0.003
"19","carrot powder","FBB16",10.6465760868037,0.006
"20","Cellulose","FBB16",54.430466999086,0.001
"21","dried apple pomace","FBB16",0.233943485340107,0.624
"22","dried spinich powder","FBB16",27.7009700523714,0.003
"23","beetroot powder","ginger powder",68.4842240070257,0.001
"24","BetaVia Pure WD","ginger powder",3.66682635392549,0.072
"25","carrot powder","ginger powder",100.068260456874,0.001
"26","Cellulose","ginger powder",7.95602440372606,0.016
"27","dried apple pomace","ginger powder",102.048616739031,0.001
"28","dried spinich powder","ginger powder",30.1363441295421,0.001
"29","FBB16","ginger powder",105.194037379284,0.004
"30","beetroot powder","Ground Beet Pulp",20.1533035508851,0.001
"31","BetaVia Pure WD","Ground Beet Pulp",126.767605163492,0.001
"32","carrot powder","Ground Beet Pulp",18.1970673053792,0.001
"33","Cellulose","Ground Beet Pulp",96.6537365534936,0.001
"34","dried apple pomace","Ground Beet Pulp",0.587322582368898,0.451
"35","dried spinich powder","Ground Beet Pulp",52.975497841116,0.001
"36","FBB16","Ground Beet Pulp",0.00394534038845642,0.952
"37","ginger powder","Ground Beet Pulp",161.457871166723,0.001
"38","beetroot powder","guar gum",2.17267836007013,0.154
"39","BetaVia Pure WD","guar gum",31.823600199999,0.001
"40","carrot powder","guar gum",5.39713834713154,0.032
"41","Cellulose","guar gum",18.2041240739349,0.001
"42","dried apple pomace","guar gum",29.0969328408031,0.001
"43","dried spinich powder","guar gum",2.21017557797747,0.137
"44","FBB16","guar gum",21.5264143980062,0.002
"45","ginger powder","guar gum",54.3804028743055,0.001
"46","Ground Beet Pulp","guar gum",38.031638187794,0.001
"47","beetroot powder","HiSmooth flax seed fiber",9.67135578014827,0.006
"48","BetaVia Pure WD","HiSmooth flax seed fiber",6.2448209218332,0.029
