"","Beneficial","Harmful","Total","PPIa"
"BetaVia Pure WD",8703.5,100.833333333333,8804.33333333333,0.97709461250142
"Cellulose",8108.5,87.4166666666667,8195.91666666667,0.978668239265488
"FBB0",3644,997,4641,0.570351217410041
"FBB16",4978,324.333333333333,5302.33333333333,0.877663921543974
"Ground Beet Pulp",6352.33333333333,29.6666666666667,6382,0.990703018907343
"HiSmooth flax seed fiber",7654.08333333333,90.25,7744.33333333333,0.976692635475401
"Jerusalum articohoke powder (inulin)",8892.41666666667,35.8333333333333,8928.25,0.99197304436293
"Micronized cassava fiber",6538.33333333333,18.4166666666667,6556.75,0.994382379481704
"Mushroom chitosan",8996.36363636364,281.454545454545,9277.81818181818,0.939327428078702
"Oat Bagasse hydrolysate-(B)",8256.83333333333,173.166666666667,8430,0.958916567813365
"Oat Bagasse hydrolysate-(PBV)",7890.66666666667,141.25,8031.91666666667,0.964827822333814
"Oat Bagasse-Control",8116.91666666667,219.5,8336.41666666667,0.947339484390775
"Olive Flour",7266.91666666667,71.25,7338.16666666667,0.980580980717255
"Psyllium Husk",8606.58333333333,60.8333333333333,8667.41666666667,0.985962753223279
"beetroot powder",6800.41666666667,36.25,6836.66666666667,0.98939541686982
"carrot powder",6893.16666666667,23.25,6916.41666666667,0.993276865428871
"dried apple pomace",6985.25,37.25,7022.5,0.98939124243503
"dried spinich powder",7165.18181818182,35,7200.18181818182,0.99027802328224
"ginger powder",8953,72,9025,0.98404432132964
"guar gum",6935.66666666667,38.9166666666667,6974.58333333333,0.988840432522851
"kappa carageenan ",8229.91666666667,65,8294.91666666667,0.984327750931796
"lemon powder",7125,25.9166666666667,7150.91666666667,0.99275151204391
"locust bean gum",6965.58333333333,33,6998.58333333333,0.990569520021909
"pomegranate powder",8895.33333333333,320.25,9215.58333333333,0.93049815981987
"xanthan gum",8474.91666666667,146.166666666667,8621.08333333333,0.966090881849729
