"","Beneficial","Harmful","Total","PPIa"
"BetaVia Pure WD",6178.75,731.166666666667,6909.91666666667,0.788371784512597
"Cellulose",6250.25,767.833333333333,7018.08333333333,0.781184321455288
"FBB0",388,649,1037,-0.25168756027001
"FBB16",2409,88.6666666666667,2497.66666666667,0.929000400373682
"Ground Beet Pulp",5795.25,635.583333333333,6430.83333333333,0.802332512634443
"HiSmooth flax seed fiber",6021,843.666666666667,6864.66666666667,0.754200252500728
"Jerusalum articohoke powder (inulin)",6039,541.25,6580.25,0.835492572470651
"Micronized cassava fiber",5757.16666666667,377.916666666667,6135.08333333333,0.876801456106274
"Mushroom chitosan",7159.25,878.166666666667,8037.41666666667,0.781480367862808
"Oat Bagasse hydrolysate-(B)",6745.33333333333,816,7561.33333333333,0.784165050255687
"Oat Bagasse hydrolysate-(PBV)",6779.41666666667,756.333333333333,7535.75,0.799267933959239
"Oat Bagasse-Control",6066.09090909091,662.636363636364,6728.72727272727,0.803042585386943
"Olive Flour",6993.16666666667,548.916666666667,7542.08333333333,0.854438981271753
"Psyllium Husk",7291,940.25,8231.25,0.771541381928626
"beetroot powder",5651.25,525.166666666667,6176.41666666667,0.829944547134935
"carrot powder",6061.91666666667,531,6592.91666666667,0.838918030714782
"dried apple pomace",6355.91666666667,712.5,7068.41666666667,0.798398981384327
"dried spinich powder",6492.25,694.916666666667,7187.16666666667,0.806622915845372
"ginger powder",7439.25,686.083333333333,8125.33333333333,0.831124876928126
"guar gum",5887.16666666667,518.25,6405.41666666667,0.838183828790737
"kappa carageenan ",6214,928.5,7142.5,0.740007000350018
"lemon powder",7148.5,791.416666666667,7939.91666666667,0.800648621417101
"locust bean gum",5434.75,499.666666666667,5934.41666666667,0.83160378020867
"pomegranate powder",8496,734.7,9230.7,0.840813806103546
"xanthan gum",6718.08333333333,1177.41666666667,7895.5,0.701749941950056
