"","Sample1","Sample2","Fs_value","p_value"
"1","Overall","",11.6525628368719,0.001
"2","beetroot powder","BetaVia Pure WD",6.70384713310818,0.023
"3","beetroot powder","carrot powder",0.170565105931154,0.675
"4","BetaVia Pure WD","carrot powder",7.23186158562115,0.009
"5","beetroot powder","Cellulose",1.95032424931295,0.179
"6","BetaVia Pure WD","Cellulose",1.39557972116075,0.24
"7","carrot powder","Cellulose",2.67790776270083,0.104
"8","beetroot powder","dried apple pomace",3.55665555599171,0.077
"9","BetaVia Pure WD","dried apple pomace",16.6788380886087,0.003
"10","carrot powder","dried apple pomace",1.79475648404294,0.213
"11","Cellulose","dried apple pomace",9.37309807330817,0.006
"12","beetroot powder","dried spinich powder",0.0222405519411186,0.882
"13","BetaVia Pure WD","dried spinich powder",5.90063200943114,0.029
"14","carrot powder","dried spinich powder",0.293633541983642,0.58
"15","Cellulose","dried spinich powder",1.54276635872978,0.23
"16","dried apple pomace","dried spinich powder",4.02113047189076,0.066
"17","beetroot powder","FBB16",2.76822493207761,0.117
"18","BetaVia Pure WD","FBB16",10.6944822432193,0.007
"19","carrot powder","FBB16",1.14018452217224,0.306
"20","Cellulose","FBB16",6.35927616713075,0.033
"21","dried apple pomace","FBB16",0.0183467126715986,0.902
"22","dried spinich powder","FBB16",3.04033822324599,0.09
"23","beetroot powder","ginger powder",4.2995742538482,0.047
"24","BetaVia Pure WD","ginger powder",0.574738111437682,0.478
"25","carrot powder","ginger powder",4.94065007142158,0.037
"26","Cellulose","ginger powder",0.283401787824347,0.581
"27","dried apple pomace","ginger powder",13.9042422779457,0.001
"28","dried spinich powder","ginger powder",3.60607099240045,0.079
"29","FBB16","ginger powder",11.7330904643434,0.003
"30","beetroot powder","Ground Beet Pulp",13.0707253869922,0.001
"31","BetaVia Pure WD","Ground Beet Pulp",38.5714089947996,0.001
"32","carrot powder","Ground Beet Pulp",7.28010115568082,0.017
"33","Cellulose","Ground Beet Pulp",24.965972689955,0.001
"34","dried apple pomace","Ground Beet Pulp",1.20884327162695,0.277
"35","dried spinich powder","Ground Beet Pulp",14.0381364018251,0.002
"36","FBB16","Ground Beet Pulp",0.540169892344029,0.478
"37","ginger powder","Ground Beet Pulp",37.2705376019797,0.001
"38","beetroot powder","guar gum",3.82127431164115,0.059
"39","BetaVia Pure WD","guar gum",0.803503570563257,0.362
"40","carrot powder","guar gum",4.4917848531056,0.061
"41","Cellulose","guar gum",0.162620034202513,0.675
"42","dried apple pomace","guar gum",13.2270517639851,0.002
"43","dried spinich powder","guar gum",3.16648694156258,0.092
"44","FBB16","guar gum",11.516657128209,0.005
"45","ginger powder","guar gum",0.0220127759285202,0.883
"46","Ground Beet Pulp","guar gum",36.2429181787377,0.001
"47","beetroot powder","HiSmooth flax seed fiber",11.0700545013011,0.007
"48","BetaVia Pure WD","HiSmooth flax seed fiber",0.158770975416674,0.681
"49","carrot powder","HiSmooth flax seed fiber",10.6005950794512,0.006
"50","Cellulose","HiSmooth flax seed fiber",2.96414453427846,0.102
"51","dried apple pomace","HiSmooth flax seed fiber",22.3780555995583,0.001
"52","dried spinich powder","HiSmooth flax seed fiber",9.8433147146737,0.008
"53","FBB16","HiSmooth flax seed fiber",22.8488284738694,0.004
"54","ginger powder","HiSmooth flax seed fiber",1.76747264292357,0.203
"55","Ground Beet Pulp","HiSmooth flax seed fiber",57.4175388009779,0.001
"56","guar gum","HiSmooth flax seed fiber",2.24564214502387,0.165
"57","beetroot powder","Jerusalum articohoke powder (inulin)",3.88701939156267,0.048
"58","BetaVia Pure WD","Jerusalum articohoke powder (inulin)",0.706863964615074,0.389
"59","carrot powder","Jerusalum articohoke powder (inulin)",4.56013845808734,0.036
"60","Cellulose","Jerusalum articohoke powder (inulin)",0.195110380415357,0.647
"61","dried apple pomace","Jerusalum articohoke powder (inulin)",13.2307251598544,0.002
"62","dried spinich powder","Jerusalum articohoke powder (inulin)",3.23569488976702,0.083
"63","FBB16","Jerusalum articohoke powder (inulin)",10.9960069819688,0.004
"64","ginger powder","Jerusalum articohoke powder (inulin)",0.00943046011954545,0.919
"65","Ground Beet Pulp","Jerusalum articohoke powder (inulin)",35.63160820904,0.001
"66","guar gum","Jerusalum articohoke powder (inulin)",0.00242446722670266,0.961
"67","HiSmooth flax seed fiber","Jerusalum articohoke powder (inulin)",2.01333494505817,0.179
"68","beetroot powder","kappa carageenan ",0.924842313405579,0.344
"69","BetaVia Pure WD","kappa carageenan ",3.53502899946209,0.082
"70","carrot powder","kappa carageenan ",1.60263844371646,0.224
"71","Cellulose","kappa carageenan ",0.335841315615639,0.557
"72","dried apple pomace","kappa carageenan ",7.91545917209287,0.012
"73","dried spinich powder","kappa carageenan ",0.627245397742654,0.428
"74","FBB16","kappa carageenan ",7.38981545372563,0.02
"75","ginger powder","kappa carageenan ",1.55934689490411,0.218
"76","Ground Beet Pulp","kappa carageenan ",25.0972997976235,0.001
"77","guar gum","kappa carageenan ",1.23317961029848,0.278
"78","HiSmooth flax seed fiber","kappa carageenan ",7.05030578712654,0.02
"79","Jerusalum articohoke powder (inulin)","kappa carageenan ",1.30103202130218,0.261
"80","beetroot powder","lemon powder",0.00477944071745501,0.944
"81","BetaVia Pure WD","lemon powder",6.36870938322192,0.026
"82","carrot powder","lemon powder",0.224460854238584,0.636
"83","Cellulose","lemon powder",1.76810340042638,0.201
"84","dried apple pomace","lemon powder",3.78725782362773,0.07
"85","dried spinich powder","lemon powder",0.00648476340532823,0.943
"86","FBB16","lemon powder",2.93271966138608,0.115
"87","ginger powder","lemon powder",4.00379710026515,0.063
"88","Ground Beet Pulp","lemon powder",13.6205464617396,0.001
"89","guar gum","lemon powder",3.54006349131937,0.072
"90","HiSmooth flax seed fiber","lemon powder",10.5907489780094,0.007
"91","Jerusalum articohoke powder (inulin)","lemon powder",3.60737399239573,0.076
"92","kappa carageenan ","lemon powder",0.786718426691066,0.381
"93","beetroot powder","locust bean gum",5.04428825993356,0.039
"94","BetaVia Pure WD","locust bean gum",0.89143493800177,0.379
"95","carrot powder","locust bean gum",5.50313011248335,0.043
"96","Cellulose","locust bean gum",0.25165854274069,0.63
"97","dried apple pomace","locust bean gum",15.8136296483612,0.001
"98","dried spinich powder","locust bean gum",4.18214136730939,0.063
"99","FBB16","locust bean gum",22.201935484242,0.001
"100","ginger powder","locust bean gum",0.0121433404429634,0.921
"101","Ground Beet Pulp","locust bean gum",48.0129314751842,0.001
"102","guar gum","locust bean gum",0.00369489589216624,0.936
"103","HiSmooth flax seed fiber","locust bean gum",2.89543569275107,0.101
"104","Jerusalum articohoke powder (inulin)","locust bean gum",9.36586250948095e-06,1
"105","kappa carageenan ","locust bean gum",1.80831950580378,0.177
"106","lemon powder","locust bean gum",4.68360840884267,0.043
"107","beetroot powder","Micronized cassava fiber",10.7051452580682,0.007
"108","BetaVia Pure WD","Micronized cassava fiber",33.7343172474242,0.001
"109","carrot powder","Micronized cassava fiber",5.91745492181427,0.021
"110","Cellulose","Micronized cassava fiber",21.3757518450338,0.001
"111","dried apple pomace","Micronized cassava fiber",0.76765822259146,0.409
"112","dried spinich powder","Micronized cassava fiber",11.57623370081,0.005
"113","FBB16","Micronized cassava fiber",0.277762153077592,0.658
"114","ginger powder","Micronized cassava fiber",31.8045557691535,0.001
"115","Ground Beet Pulp","Micronized cassava fiber",0.0607535479242963,0.805
"116","guar gum","Micronized cassava fiber",30.8180423667499,0.001
"117","HiSmooth flax seed fiber","Micronized cassava fiber",49.2164697430391,0.001
"118","Jerusalum articohoke powder (inulin)","Micronized cassava fiber",30.3904062749389,0.001
"119","kappa carageenan ","Micronized cassava fiber",20.8894482715069,0.001
"120","lemon powder","Micronized cassava fiber",11.1860295454856,0.003
"121","locust bean gum","Micronized cassava fiber",40.0032176790582,0.001
"122","beetroot powder","Mushroom chitosan",16.2966230945019,0.001
"123","BetaVia Pure WD","Mushroom chitosan",1.03248789763836,0.325
"124","carrot powder","Mushroom chitosan",15.146719323533,0.001
"125","Cellulose","Mushroom chitosan",5.65965982048364,0.024
"126","dried apple pomace","Mushroom chitosan",29.1750702884331,0.001
"127","dried spinich powder","Mushroom chitosan",14.736915630743,0.003
"128","FBB16","Mushroom chitosan",27.2670592808808,0.003
"129","ginger powder","Mushroom chitosan",4.17351393334272,0.048
"130","Ground Beet Pulp","Mushroom chitosan",70.6333994777317,0.001
"131","guar gum","Mushroom chitosan",4.9376923869947,0.03
"132","HiSmooth flax seed fiber","Mushroom chitosan",0.510808348748272,0.488
"133","Jerusalum articohoke powder (inulin)","Mushroom chitosan",4.53489083806916,0.044
"134","kappa carageenan ","Mushroom chitosan",11.60859180769,0.005
"135","lemon powder","Mushroom chitosan",15.7032039774228,0.001
"136","locust bean gum","Mushroom chitosan",6.3842784540326,0.023
"137","Micronized cassava fiber","Mushroom chitosan",61.1445892466595,0.001
"138","beetroot powder","Oat Bagasse hydrolysate-(B)",1.34686693786377,0.251
"139","BetaVia Pure WD","Oat Bagasse hydrolysate-(B)",1.44237435665823,0.24
"140","carrot powder","Oat Bagasse hydrolysate-(B)",1.98030808953939,0.163
"141","Cellulose","Oat Bagasse hydrolysate-(B)",0.0136545633468448,0.907
"142","dried apple pomace","Oat Bagasse hydrolysate-(B)",7.45510056851254,0.012
"143","dried spinich powder","Oat Bagasse hydrolysate-(B)",1.04089456111505,0.335
"144","FBB16","Oat Bagasse hydrolysate-(B)",4.62356814596429,0.028
"145","ginger powder","Oat Bagasse hydrolysate-(B)",0.373990717191535,0.545
"146","Ground Beet Pulp","Oat Bagasse hydrolysate-(B)",19.6599787204106,0.001
