"","Sample1","Sample2","Fs_value","p_value"
"1","Overall","",12.5488501694075,0.001
"2","beetroot powder","BetaVia Pure WD",21.3272793411096,0.001
"3","beetroot powder","carrot powder",1.15369877202806,0.315
"4","BetaVia Pure WD","carrot powder",15.194908999683,0.002
"5","beetroot powder","Cellulose",8.48493589371717,0.013
"6","BetaVia Pure WD","Cellulose",1.45859494910382,0.257
"7","carrot powder","Cellulose",4.18763759734609,0.057
"8","beetroot powder","dried apple pomace",4.02738467804947,0.066
"9","BetaVia Pure WD","dried apple pomace",7.28086588904038,0.014
"10","carrot powder","dried apple pomace",1.03909254080036,0.324
"11","Cellulose","dried apple pomace",1.16302989532793,0.262
"12","beetroot powder","dried spinich powder",4.22283697202549,0.06
"13","BetaVia Pure WD","dried spinich powder",2.24882287576601,0.159
"14","carrot powder","dried spinich powder",1.49887222572904,0.246
"15","Cellulose","dried spinich powder",0.235747218129171,0.618
"16","dried apple pomace","dried spinich powder",0.161391063778591,0.704
"17","beetroot powder","FBB16",9.19202223581629,0.015
"18","BetaVia Pure WD","FBB16",204.820667457344,0.002
"19","carrot powder","FBB16",20.0127724893469,0.002
"20","Cellulose","FBB16",33.3318611012349,0.001
"21","dried apple pomace","FBB16",28.8438667956497,0.002
"22","dried spinich powder","FBB16",15.8356359517479,0.005
"23","beetroot powder","ginger powder",34.597580591635,0.001
"24","BetaVia Pure WD","ginger powder",7.63580070954429,0.011
"25","carrot powder","ginger powder",28.6253589511995,0.001
"26","Cellulose","ginger powder",8.74036219007277,0.012
"27","dried apple pomace","ginger powder",18.7023704748705,0.001
"28","dried spinich powder","ginger powder",8.44573440344113,0.009
"29","FBB16","ginger powder",108.227210365216,0.002
"30","beetroot powder","Ground Beet Pulp",0.150894153704403,0.716
"31","BetaVia Pure WD","Ground Beet Pulp",12.6425562003126,0.003
"32","carrot powder","Ground Beet Pulp",0.314618259691396,0.569
"33","Cellulose","Ground Beet Pulp",5.02871490215824,0.03
"34","dried apple pomace","Ground Beet Pulp",1.95947848465344,0.189
"35","dried spinich powder","Ground Beet Pulp",2.40646319808922,0.135
"36","FBB16","Ground Beet Pulp",8.21499676137008,0.011
"37","ginger powder","Ground Beet Pulp",23.0623484216771,0.001
"38","beetroot powder","guar gum",0.764989856450347,0.399
"39","BetaVia Pure WD","guar gum",11.4452696742945,0.005
"40","carrot powder","guar gum",0.0119834017129321,0.916
"41","Cellulose","guar gum",3.73914135068532,0.082
"42","dried apple pomace","guar gum",1.02950383332179,0.331
"43","dried spinich powder","guar gum",1.49027702066249,0.215
"44","FBB16","guar gum",12.6977633377815,0.013
"45","ginger powder","guar gum",22.4798245940825,0.001
"46","Ground Beet Pulp","guar gum",0.17976761410272,0.632
"47","beetroot powder","HiSmooth flax seed fiber",4.90266221789841,0.04
"48","BetaVia Pure WD","HiSmooth flax seed fiber",2.04017426009208,0.164
"49","carrot powder","HiSmooth flax seed fiber",1.89252643661267,0.169
"50","Cellulose","HiSmooth flax seed fiber",0.149716188031086,0.696
"51","dried apple pomace","HiSmooth flax seed fiber",0.280990084252779,0.592
"52","dried spinich powder","HiSmooth flax seed fiber",0.00976142491668879,0.943
"53","FBB16","HiSmooth flax seed fiber",17.9514768689012,0.004
"54","ginger powder","HiSmooth flax seed fiber",8.33749957313565,0.003
"55","Ground Beet Pulp","HiSmooth flax seed fiber",2.83734792271328,0.106
"56","guar gum","HiSmooth flax seed fiber",1.84034497159105,0.212
"57","beetroot powder","Jerusalum articohoke powder (inulin)",0.327139216259335,0.607
"58","BetaVia Pure WD","Jerusalum articohoke powder (inulin)",75.3618828739461,0.001
"59","carrot powder","Jerusalum articohoke powder (inulin)",4.33593007762537,0.036
"60","Cellulose","Jerusalum articohoke powder (inulin)",20.1242070880946,0.001
"61","dried apple pomace","Jerusalum articohoke powder (inulin)",11.3659237708565,0.005
"62","dried spinich powder","Jerusalum articohoke powder (inulin)",8.96897661162422,0.005
"63","FBB16","Jerusalum articohoke powder (inulin)",26.1361838711011,0.003
"64","ginger powder","Jerusalum articohoke powder (inulin)",87.9317322030391,0.001
"65","Ground Beet Pulp","Jerusalum articohoke powder (inulin)",0.95008111101717,0.354
"66","guar gum","Jerusalum articohoke powder (inulin)",2.72719872233318,0.105
"67","HiSmooth flax seed fiber","Jerusalum articohoke powder (inulin)",10.4981570983907,0.008
"68","beetroot powder","kappa carageenan ",25.7708805982001,0.001
"69","BetaVia Pure WD","kappa carageenan ",1.09003178827029,0.308
"70","carrot powder","kappa carageenan ",19.6714614625463,0.001
"71","Cellulose","kappa carageenan ",3.23227701162245,0.097
"72","dried apple pomace","kappa carageenan ",10.7560366228762,0.004
"73","dried spinich powder","kappa carageenan ",3.82898719622129,0.051
"74","FBB16","kappa carageenan ",178.540328183047,0.003
"75","ginger powder","kappa carageenan ",3.51221523030182,0.072
"76","Ground Beet Pulp","kappa carageenan ",15.8453676012035,0.003
"77","guar gum","kappa carageenan ",14.8588698230057,0.002
"78","HiSmooth flax seed fiber","kappa carageenan ",3.62802036132235,0.076
"79","Jerusalum articohoke powder (inulin)","kappa carageenan ",83.9511110735106,0.001
"80","beetroot powder","lemon powder",15.8333278791299,0.001
"81","BetaVia Pure WD","lemon powder",0.665641809216701,0.428
"82","carrot powder","lemon powder",10.7641560289511,0.006
"83","Cellulose","lemon powder",2.2223439760757,0.135
"84","dried apple pomace","lemon powder",6.03840754556786,0.023
"85","dried spinich powder","lemon powder",3.01884873857271,0.093
"86","FBB16","lemon powder",29.6537251576678,0.003
"87","ginger powder","lemon powder",0.695656867284631,0.439
"88","Ground Beet Pulp","lemon powder",11.0183857851727,0.007
"89","guar gum","lemon powder",9.60288387646651,0.007
"90","HiSmooth flax seed fiber","lemon powder",2.815954802804,0.108
"91","Jerusalum articohoke powder (inulin)","lemon powder",29.3645742558575,0.001
"92","kappa carageenan ","lemon powder",0.0909635431063867,0.756
"93","beetroot powder","locust bean gum",0.299224025745461,0.585
"94","BetaVia Pure WD","locust bean gum",49.4521962769014,0.001
"95","carrot powder","locust bean gum",0.665559313078309,0.43
