"","Beneficial","Harmful","Total","PPIa"
"BetaVia Pure WD",7940.5,1498.66666666667,9439.16666666667,0.682457844089344
"Cellulose",7435.75,1576.58333333333,9012.33333333333,0.650127602914525
"FBB0",5726,2193.33333333333,7919.33333333333,0.446081319976429
"FBB16",4323.66666666667,221.333333333333,4545,0.902603593692703
"Ground Beet Pulp",6516.33333333333,1050.58333333333,7566.91666666667,0.722321949715318
"HiSmooth flax seed fiber",8376.27272727273,1056.72727272727,9433,0.775950965180267
"Jerusalum articohoke powder (inulin)",7857.33333333333,1399.5,9256.83333333333,0.69762877874003
"Micronized cassava fiber",7256.66666666667,877.916666666667,8134.58333333333,0.784152025815705
"Mushroom chitosan",7838.58333333333,1715.66666666667,9554.25,0.640857907911837
"Oat Bagasse hydrolysate-(B)",7120.54545454545,1344.45454545455,8465,0.682349782526983
"Oat Bagasse hydrolysate-(PBV)",6643.66666666667,1460.33333333333,8104,0.639601842711418
"Oat Bagasse-Control",6891,1386,8277,0.665096049293222
"Olive Flour",7692,1432.91666666667,9124.91666666667,0.685933204869451
"Psyllium Husk",7652.41666666667,1409,9061.41666666667,0.689011100177492
"beetroot powder",6563.83333333333,1335.5,7899.33333333333,0.661870200016879
"carrot powder",6966.66666666667,1074.5,8041.16666666667,0.732750222811781
"dried apple pomace",6734.16666666667,1229.75,7963.91666666667,0.691169545972982
"dried spinich powder",7243.16666666667,1708.33333333333,8951.5,0.618313504254408
"ginger powder",7750.58333333333,1513.16666666667,9263.75,0.67331444249539
"guar gum",7170.08333333333,1503.91666666667,8674,0.653235723618477
"kappa carageenan ",6938.91666666667,1696.83333333333,8635.75,0.607021200629168
"lemon powder",6693.66666666667,1381,8074.66666666667,0.657942536327609
"locust bean gum",7246,1437.33333333333,8683.33333333333,0.6689443378119
"pomegranate powder",8938,2042.33333333333,10980.3333333333,0.628001578579885
"xanthan gum",8012.75,1552.5,9565.25,0.675387470269988
